Name;Role;Tier;Score;Trend;Win %;Pick %;Ban %;KDA
Lucian;ADC;S;62.09;-0.85;50.97%;10.47%;4.08%;2.29
Lulu;SUPPORT;God;69.65;-1.73;50.53%;7.85%;10.48%;2.95
Lux;SUPPORT;God;83.36;7.81;50.31%;12.19%;9.52%;2.44
Lux;MID;S;56.33;0.2;51.14%;4.21%;9.52%;2.81
Malphite;MID;B;43.32;3.59;50.04%;0.62%;1.88%;2.45
Malphite;TOP;B;42.32;-8.72;47.41%;2.33%;1.88%;2.26
Malphite;SUPPORT;D;26.87;-3.97;43.84%;0.77%;1.89%;2.01
Malzahar;MID;A;52.75;-4.5;51.52%;3.95%;4.29%;2.2
Maokai;SUPPORT;B;46.14;-0.81;51.10%;2.14%;0.70%;2.29
Maokai;TOP;C;38.23;-8.42;49.24%;0.63%;0.73%;2.13
Maokai;JUNGLE;C;36.52;-7.75;49.72%;0.43%;0.73%;2.98
Master Yi;JUNGLE;God;74.19;8.04;51.22%;7.88%;23.03%;2.19
Miss Fortune;ADC;S;63.52;-5.25;50.69%;11.16%;5.29%;2.16
Mordekaiser;TOP;God;75.65;6.79;51.90%;7.67%;14.49%;1.89
Mordekaiser;JUNGLE;S;64.96;25.06;56.79%;3.96%;14.49%;2.78
Morgana;SUPPORT;God;80.04;8.59;51.50%;8.03%;30.60%;2.48
Nami;SUPPORT;God;88.29;2.32;53.68%;11.89%;3.56%;3.26
Nasus;TOP;S;62.0;1.09;52.09%;5.07%;5.51%;2.02
Nautilus;SUPPORT;S;59.68;0.08;49.73%;6.52%;8.55%;2.28
Neeko;MID;A;50.22;7.24;52.84%;1.78%;0.82%;2.34
Neeko;SUPPORT;C;37.62;-1.09;49.34%;0.85%;0.82%;2.05
Nidalee;JUNGLE;C;36.99;-4.76;46.61%;2.34%;1.13%;2.77
Nilah;ADC;A;52.65;7.81;54.75%;4.43%;7.63%;2.26
Nocturne;JUNGLE;A;52.7;7.57;53.05%;3.24%;1.91%;2.77
Nocturne;MID;B;45.6;0.0;52.66%;0.30%;1.91%;2.15
Nunu;JUNGLE;B;41.11;-3.5;48.13%;2.56%;0.87%;2.86
Olaf;TOP;B;47.69;-4.38;52.26%;1.99%;1.64%;1.81
Olaf;JUNGLE;C;36.2;-3.47;50.69%;0.61%;1.64%;2.42
Orianna;MID;B;46.48;0.75;49.96%;1.75%;0.22%;2.6
Ornn;TOP;S;58.3;-2.22;50.37%;4.97%;1.41%;2.19
Pantheon;MID;A;50.18;1.26;53.41%;1.41%;1.49%;2.31
Pantheon;TOP;B;43.95;4.2;51.40%;1.13%;1.49%;2.04
Pantheon;JUNGLE;C;39.56;2.96;51.57%;0.62%;1.49%;2.75
Pantheon;SUPPORT;C;37.6;3.86;46.60%;2.59%;1.49%;1.9
Poppy;TOP;C;38.91;-7.45;49.35%;0.90%;0.84%;2.03
Poppy;JUNGLE;C;37.53;-2.61;48.85%;1.41%;0.84%;2.76
Poppy;SUPPORT;D;32.35;0.0;47.50%;0.27%;0.83%;2.07
Pyke;SUPPORT;God;71.85;-2.49;49.26%;9.34%;16.70%;2.21
Qiyana;MID;B;42.7;-0.64;47.87%;2.76%;1.25%;2.01
Qiyana;JUNGLE;D;21.9;-15.72;43.09%;0.76%;1.25%;2.32
Quinn;MID;B;41.64;0.0;50.63%;0.18%;0.79%;2.09
Quinn;TOP;C;38.67;-6.67;49.48%;1.12%;0.74%;1.81
Quinn;ADC;D;25.8;0.0;49.56%;0.19%;0.79%;2.0
Rakan;SUPPORT;A;53.88;4.13;51.07%;3.90%;0.32%;2.79
Rammus;JUNGLE;A;56.12;0.89;50.92%;4.09%;11.17%;3.25
Rammus;TOP;C;40.23;0.0;51.16%;0.51%;11.17%;1.88
Rek'Sai;JUNGLE;C;36.34;-6.54;49.04%;1.28%;1.17%;2.56
Rell;SUPPORT;B;47.92;1.62;52.03%;1.93%;0.40%;2.47
Renata Glasc;SUPPORT;S;59.64;-1.8;51.92%;5.09%;3.57%;2.71
Renekton;TOP;A;50.25;1.36;49.78%;3.80%;2.60%;1.8
Renekton;MID;B;44.82;2.36;51.93%;0.65%;2.60%;2.07
Rengar;JUNGLE;A;48.83;4.01;48.97%;4.50%;5.81%;2.41
Rengar;TOP;B;42.48;-2.02;51.04%;1.12%;5.81%;1.88
Riven;TOP;A;55.95;5.62;50.41%;4.80%;1.73%;1.89
Rumble;MID;B;45.26;-5.17;50.98%;0.75%;0.46%;2.46
Rumble;TOP;C;36.64;-4.46;48.25%;0.89%;0.46%;2.02
Rumble;JUNGLE;D;28.92;0.0;46.55%;0.39%;0.46%;2.69
Ryze;MID;B;46.73;8.2;46.51%;5.34%;0.57%;2.09
Ryze;TOP;D;29.73;-7.66;45.87%;0.71%;0.57%;1.78
Samira;ADC;S;66.13;4.14;51.28%;9.56%;21.82%;2.2
Sejuani;JUNGLE;A;55.72;-2.03;50.76%;4.31%;2.26%;3.38
Sejuani;TOP;B;42.68;-13.48;48.15%;2.08%;2.26%;2.24
Senna;SUPPORT;S;59.03;4.64;49.31%;6.73%;2.72%;2.48
Seraphine;SUPPORT;A;54.98;2.77;51.00%;4.64%;1.99%;2.44
